Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,cpu Name,Price
CPU,BX8071514900KS,Intel,Core i9-14900KS,1,133.0,189,https://cpu.userbenchmark.com/SpeedTest/2295306/IntelR-CoreTM-i9-14900KS,Intel Core i9-14900KS,548
CPU,BX8071514900KF,Intel,Core i9-14900KF,2,131.0,4811,https://cpu.userbenchmark.com/SpeedTest/2212218/IntelR-CoreTM-i9-14900KF,Intel Core i9-14900KF,548
CPU,BX8071514900K,Intel,Core i9-14900K,3,131.0,8839,https://cpu.userbenchmark.com/Intel-Core-i9-14900K/Rating/4151,Intel Core i9-14900K,548
CPU,BX8071513900KS,Intel,Core i9-13900KS,4,131.0,4204,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS,Intel Core i9-13900KS,459
CPU,BX8071514700K,Intel,Core i7-14700K,5,130.0,6042,https://cpu.userbenchmark.com/Intel-Core-i7-14700K/Rating/4152,Intel Core i7-14700K,381
CPU,BX8071514700KF,Intel,Core i7-14700KF,6,130.0,2777,https://cpu.userbenchmark.com/SpeedTest/2212020/IntelR-CoreTM-i7-14700KF,Intel Core i7-14700KF,375
CPU,BX8071513900KF,Intel,Core i9-13900KF,7,129.0,16914,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF,Intel Core i9-13900KF,459
CPU,BX8071513900K,Intel,Core i9-13900K,8,129.0,49132,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129,Intel Core i9-13900K,459
CPU,BX8071513700KF,Intel,Core i7-13700KF,9,126.0,20009,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF,Intel Core i7-13700KF,291
CPU,BX8071513700K,Intel,Core i7-13700K,10,126.0,41056,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137,Intel Core i7-13700K,329
CPU,BX8071514900,Intel,Core i9-14900,11,124.0,85,https://cpu.userbenchmark.com/SpeedTest/2278149/IntelR-CoreTM-i9-14900,Intel Core i9-14900,579
CPU,BX8071513900F,Intel,Core i9-13900F,12,124.0,824,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F,Intel Core i9-13900F,459
CPU,BX8071514600KF,Intel,Core i5-14600KF,13,124.0,3612,https://cpu.userbenchmark.com/SpeedTest/2213004/IntelR-CoreTM-i5-14600KF,Intel Core i5-14600KF,293
CPU,BX8071513900,Intel,Core i9-13900,14,124.0,685,https://cpu.userbenchmark.com/SpeedTest/1977296/13th-Gen-IntelR-CoreTM-i9-13900,Intel Core i9-13900,579
CPU,BX8071514600K,Intel,Core i5-14600K,15,124.0,1700,https://cpu.userbenchmark.com/Intel-Core-i5-14600K/Rating/4153,Intel Core i5-14600K,305
CPU,BX8071514900F,Intel,Core i9-14900F,16,123.0,129,https://cpu.userbenchmark.com/SpeedTest/2277046/IntelR-CoreTM-i9-14900F,Intel Core i9-14900F,528
